Product,Price,KMs,Fuel,Owners,Year,Location,Brand
Maruti Suzuki Swift VXi,633200,52920,Petrol,1,2017,Hyderabad,Maruti
Honda City ZX EXi,326670,71441,Petrol,1,2008,Hyderabad,Honda
Maruti Suzuki Alto K10 LXi,272829,79433,Petrol,1,2012,Hyderabad,Maruti
Toyota Etios D 4D GD,731000,89318,Diesel,1,2016,Hyderabad,Toyota
Hyundai i10 Asta 1.2,338309,52473,Petrol,1,2009,Hyderabad,Hyundai
Honda Jazz V MT,610866,32810,Petrol,1,2016,Hyderabad,Honda
Ford EcoSport 1.5 TDCi Tita...,731347,59636,Diesel,1,2015,Hyderabad,Ford
Maruti Suzuki Swift LDi BS IV,320000,92123,Diesel,1,2011,Hyderabad,Maruti
Chevrolet Spark LT 1.0,145000,49786,Petrol,1,2010,Hyderabad,Chevrolet
Mercedes Benz E Class 280 C...,850000,48741,Diesel,1,2006,Hyderabad,Mercedes
Hyundai i10 Magna 1.2,310000,64616,Petrol,1,2010,Hyderabad,Hyundai
Volkswagen Vento 1.6L AT Hi...,750000,73285,Diesel,1,2015,Hyderabad,Volkswagen
Maruti Suzuki S Cross Zeta ...,825000,57418,Diesel,1,2016,Hyderabad,Maruti
Toyota Innova Crysta 2.4 VX...,1700000,86500,Diesel,1,2016,Hyderabad,Toyota
Hyundai Grand i10 Asta(O) 1...,540000,75247,Diesel,1,2015,Hyderabad,Hyundai
Maruti Suzuki A Star Vxi (A...,375000,37325,Petrol,1,2013,Hyderabad,Maruti
Maruti Suzuki Alto K10 VXi,340000,45268,Petrol,1,2015,Hyderabad,Maruti
Maruti Suzuki Wagon R 1.0 M...,370000,79043,LPG,1,2012,Hyderabad,Maruti
Maruti Suzuki Eeco 5 STR WI...,295000,41312,CNG,1,2011,Hyderabad,Maruti
Maruti Suzuki Wagon R 1.0 M...,310000,62321,LPG,1,2011,Hyderabad,Maruti
Maruti Suzuki 800 AC,155000,72870,Petrol,1,2011,Hyderabad,Maruti
Maruti Suzuki 800 AC BS III,105000,55524,Petrol,1,2007,Hyderabad,Maruti
Skoda Superb 1.8 TSI AT Ele...,475000,64321,Petrol,1,2009,Hyderabad,Skoda
Mercedes Benz GLE 250 d,4250000,53000,Diesel,1,2015,Hyderabad,Mercedes
Maruti Suzuki Wagon R LXI,244000,30000,Petrol,1,2009,Hyderabad,Maruti
BMW 3 Series 320d Sedan,850000,101574,Diesel,1,2011,Hyderabad,BMW
Renault Kwid RxT,390000,46000,Petrol,1,2016,Hyderabad,Renault
Honda Jazz V 1.2L i-VTEC CVT,775000,31000,Petrol,1,2017,Hyderabad,Honda
Hyundai Santro Xing GLS,225000,68000,Petrol,1,2007,Hyderabad,Hyundai
Volkswagen Polo GT TDI,470000,88000,Diesel,1,2013,Hyderabad,Volkswagen
Hyundai Eon D-Lite +,330000,70000,Petrol,1,2015,Hyderabad,Hyundai
Maruti Suzuki Baleno Alpha ...,640000,55000,Petrol,1,2016,Hyderabad,Maruti
Maruti Suzuki 800 AC BS III,120000,47990,Petrol,1,2008,Hyderabad,Maruti
Hyundai Verna VGT CRDi,280000,112738,Diesel,1,2007,Hyderabad,Hyundai
Ford Fiesta ZXi 1.4 TDCi,320000,54346,Diesel,1,2011,Hyderabad,Ford
Renault Duster RxL Diesel 85PS,545000,87708,Diesel,1,2013,Hyderabad,Renault
Volkswagen Polo Highline1.5...,595000,82637,Diesel,1,2015,Hyderabad,Volkswagen
Nissan Terrano XL Plus Diesel,575000,116368,Diesel,1,2013,Hyderabad,Nissan
Tata Nexon XT Diesel,799000,43314,Diesel,1,2017,Hyderabad,Tata
Hyundai Santro Sportz AMT,610000,8693,Petrol,1,2019,Hyderabad,Hyundai
Toyota Innova 2.5 G (Diesel...,450000,118477,Diesel,2,2012,Hyderabad,Toyota
Land Rover Range Rover 3.0 ...,6900000,100000,Diesel,2,2013,Hyderabad,Land
Maruti Suzuki Swift Dzire VXi,495000,22500,Petrol,1,2012,Hyderabad,Maruti
Volkswagen Polo Comfortline...,400000,21000,Petrol,1,2010,Hyderabad,Volkswagen
Toyota Commuter HiAce 3.0 L,6400000,11680,Diesel,2,2016,Hyderabad,Toyota
Audi A3 35 TDI Premium Plus...,2599000,15000,Diesel,1,2018,Hyderabad,Audi
Land Rover Range Rover Evoq...,3899999,42000,Diesel,2,2016,Hyderabad,Land
Hyundai Santro Xing GLS AT,270000,78000,Petrol,2,2007,Hyderabad,Hyundai
Toyota Glanza V CVT,925000,25865,Petrol,1,2019,Hyderabad,Toyota
Maruti Suzuki Celerio Vdi,439000,39000,Diesel,1,2017,Hyderabad,Maruti
Volvo S90 Inscription Luxury,5100000,17000,Diesel,1,2019,Hyderabad,Volvo
Maruti Suzuki Ciaz Alpha 1....,875000,36000,Diesel,1,2018,Hyderabad,Maruti
Honda City V CVT Petrol,875000,40500,Petrol,1,2017,Hyderabad,Honda
Maruti Suzuki Swift Dzire VDi,350000,70000,Diesel,1,2008,Hyderabad,Maruti
Toyota Innova Crysta 2.8 ZX...,1975000,69321,Diesel,1,2017,Hyderabad,Toyota
Honda City ZX CVT Petrol,1090000,49978,Petrol,1,2017,Hyderabad,Honda
Hyundai Verna Fluidic 1.6 C...,740000,95000,Diesel,1,2015,Hyderabad,Hyundai
Volkswagen Vento 1.5 TDI Hi...,730000,96000,Diesel,1,2015,Hyderabad,Volkswagen
Maruti Suzuki Ertiga VDI BS IV,611000,112000,Diesel,1,2012,Hyderabad,Maruti
Nissan Micra XV Petrol Active,448000,51456,Petrol,1,2015,Hyderabad,Nissan
Land Rover Range Rover Evoq...,5600000,18000,Diesel,1,2018,Hyderabad,Land
Mercedes Benz GLS 350 d,5850000,51000,Diesel,1,2016,Hyderabad,Mercedes
Ford EcoSport 1.5 TDCi Tita...,650000,90000,Diesel,1,2015,Hyderabad,Ford
Hyundai Elite i20 1.2 Kappa...,666000,77597,Petrol,1,2015,Hyderabad,Hyundai
Maruti Suzuki Baleno Delta ...,699000,45215,Petrol,1,2016,Hyderabad,Maruti
Honda Amaze 1.5 VX i-DTEC,666000,61198,Diesel,1,2016,Hyderabad,Honda
Volkswagen Ameo Comfortline...,629000,23882,Petrol,1,2016,Hyderabad,Volkswagen
Hyundai Grand i10 Sportz U2...,583000,91288,Diesel,1,2016,Hyderabad,Hyundai
Datsun GO T (O),360000,23142,Petrol,1,2017,Hyderabad,Datsun
Tata Tiago Revotorq XZ,590000,28628,Diesel,1,2017,Hyderabad,Tata
Mahindra Bolero ZLX BS3,517000,92705,Diesel,1,2012,Hyderabad,Mahindra
Maruti Suzuki A Star Vxi,273000,92411,Petrol,1,2011,Hyderabad,Maruti
Ford Figo Duratec Petrol Ti...,441439,93334,Petrol,1,2014,Hyderabad,Ford
Hyundai Santro Xing GLS LPG,251000,131279,LPG,1,2009,Hyderabad,Hyundai
Maruti Suzuki Dzire VDI,775000,36000,Diesel,1,2018,Hyderabad,Maruti
Toyota Fortuner 3.0 MT,1185000,131000,Diesel,2,2010,Hyderabad,Toyota
Honda Accord 2008 2.4 MT,545000,53000,Petrol,2,2009,Hyderabad,Honda
Maruti Suzuki Vitara Brezza...,1080000,36000,Diesel,1,2018,Hyderabad,Maruti
Mercedes Benz E Class E250 ...,2395000,35000,Diesel,1,2014,Hyderabad,Mercedes
Maruti Suzuki Alto K10 VXi,310000,35265,Petrol,2,2015,Hyderabad,Maruti
Hyundai Grand i10 Magna U2 ...,449000,63091,Diesel,2,2014,Hyderabad,Hyundai
Hyundai Verna VGT CRDi ABS,330000,108773,Diesel,1,2009,Hyderabad,Hyundai
Honda City VX(O) 1.5L i-DTE...,700000,66996,Diesel,1,2015,Hyderabad,Honda
Skoda Rapid 1.5 TDI CR Eleg...,585000,114324,Diesel,1,2014,Hyderabad,Skoda
Maruti Suzuki Wagon R Duo L...,190000,90340,LPG,2,2007,Hyderabad,Maruti
BMW X1 sDrive20d,910000,100500,Diesel,1,2011,Hyderabad,BMW
Toyota Etios GD,375000,120600,Diesel,1,2012,Hyderabad,Toyota
Maruti Suzuki Ritz Zxi BS IV,300000,68000,Petrol,1,2009,Hyderabad,Maruti
Toyota Innova 2.5 E 7 STR,775000,162500,Diesel,1,2012,Hyderabad,Toyota
Chevrolet Sail 1.3 TCDi LS ...,310000,90300,Diesel,2,2013,Hyderabad,Chevrolet
Maruti Suzuki Wagon R 1.0 VXi,450000,45000,Petrol,1,2016,Hyderabad,Maruti
Hyundai Creta SX+ 1.6 CRDI VGT,1050000,70500,Diesel,2,2015,Hyderabad,Hyundai
Hyundai i10 Magna,310000,33000,Petrol,1,2010,Hyderabad,Hyundai
Hyundai i10 Magna,250000,53000,Petrol,1,2008,Hyderabad,Hyundai
Honda City 1.5 S MT,350000,75000,Petrol,1,2008,Hyderabad,Honda
Maruti Suzuki Ertiga ZDI SHVS,790000,150000,Diesel,1,2015,Hyderabad,Maruti
Maruti Suzuki Vitara Brezza...,795000,66000,Diesel,1,2016,Hyderabad,Maruti
Hyundai Grand i10 Asta 1.2 ...,550000,7500,Petrol,1,2018,Hyderabad,Hyundai
Honda WR-V S MT Petrol,765000,33000,Petrol,1,2017,Hyderabad,Honda
Maruti Suzuki Ertiga VDI BS IV,680000,75000,Diesel,1,2013,Hyderabad,Maruti
Maruti Suzuki Swift Dzire VDi,350000,70000,Diesel,1,2008,Hyderabad,Maruti
Maruti Suzuki Ritz Vdi BS IV,300000,91000,Diesel,1,2011,Hyderabad,Maruti
Hyundai Elite i20 1.2 Kappa...,690000,38000,Petrol,1,2017,Hyderabad,Hyundai
Hyundai i20 Sportz 1.4 CRDI,550000,80000,Diesel,1,2014,Hyderabad,Hyundai
Hyundai Verna Fluidic 1.6 CRDI,550000,90000,Diesel,1,2012,Hyderabad,Hyundai
Hyundai i10 Magna 1.2 Kappa2,360000,68000,Petrol,1,2011,Hyderabad,Hyundai
Maruti Suzuki Swift Dzire VDi,655000,62000,Diesel,1,2017,Hyderabad,Maruti
Maruti Suzuki Baleno Sigma ...,680000,51000,Petrol,1,2017,Hyderabad,Maruti
